1 1   2.2659032323264930E-01   9.6166419119419100E+00   2.1858458337632864E+00   6.5223017284501272E-01
1 2   3.0944836377099916E-01   5.0028559321574209E+00   1.2863262085108578E+00   3.2556891541264837E-01
1 3   2.0353241379451092E-01   7.1427942966219851E+00   1.5892752601393141E+00   4.8477595645309313E-01
1 4   2.9730929936686556E-01   3.7661771168267748E+00   9.8815137623491511E-01   2.4181249222183404E-01
1 5   1.6034696644370219E-01   4.1469832401668638E+00   8.8022631356369618E-01   2.8121963465922423E-01
1 6   2.7201129879263125E-01   2.2678239402766058E+00   6.3516897934123662E-01   1.4030720997533738E-01
1 7   1.1212475198513390E-01   2.2292652677252813E+00   4.4402114441746232E-01   1.4961566748026803E-01
1 8   2.3804256432943677E-01   1.3208742362468950E+00   4.1730433164215874E-01   7.6130985746930419E-02
1 9   2.4513099752055154E-01   9.4751160662052980E-01   3.5853690421117607E-01   5.0837562012350533E-02
1 10   1.5716231977996101E-01   2.7596216013647372E+00   5.2485046067650865E-01   1.8774347717276463E-01
1 11   1.4743601726548083E-01   5.5599270746969254E-01   2.6561103009938181E-01   2.5615123162862109E-02
1 12   9.9110926426029242E-02   1.7265405335201476E+00   2.8946074016931739E-01   1.0763211497274951E-01
1 13   6.5093699123904197E-02   3.4521757733971181E-01   1.8359474583699306E-01   1.9807638588057636E-02
1 14   3.1653527247864993E-02   9.1293170125596157E-01   1.4776838144232163E-01   5.0378539068975041E-02
1 15   2.9202821602466629E-03   2.6453981776124158E-01   7.5223282960302298E-02   1.8763845335865521E-02
1 16   3.2145385719803399E-04   2.8696425565429251E-01   4.4542333529439815E-02   2.2803458595503878E-02
1 17   0.0000000000000000E+00   1.3848731138266299E-01   1.6873206839522925E-02   9.3566500301011605E-03
1 18   0.0000000000000000E+00   5.8319173651547429E-01   2.2072607648582345E-02   3.3871007197737182E-02
1 19   2.5396818520553193E-07   2.1613962298381928E-01   1.6150263493374027E-02   1.2941286910657558E-02
1 20   2.4776169470755140E-02   1.6851617426880199E+00   1.3908239192701968E-01   9.8978414572198345E-02
1 21   1.3746677085352851E-03   3.1637071808861694E-01   1.7549567221700559E-02   1.8151303307160593E-02
1 22   0.0000000000000000E+00   1.0258348935693713E-01   6.0455988306592438E-03   6.0254259842075497E-03
1 23   2.3513882113392635E-02   9.1618560879938937E-01   7.8259944439236589E-02   5.2274221024941954E-02
1 24   0.0000000000000000E+00   1.5785966980407018E-01   4.3158254597425944E-03   8.8153484578366546E-03
1 25   6.3662350891534574E-04   5.9225627251012991E-02   3.5798621315427173E-03   2.9927707338107006E-03
1 26   8.9828333062972367E-03   1.9426085555380754E-01   2.3458320011499112E-02   9.9821265833808272E-03
1 27   2.1228022180417677E-04   8.7777813240869553E-03   2.0045457225598699E-03   5.7458501958935018E-04
2 1   6.3095265711799287E-01   1.0005711988560002E+01   2.5726524170217013E+00   6.4834400253733715E-01
2 2   0.0000000000000000E+00   4.6195409357987103E+00   9.2660912903867565E-01   3.2078170986867227E-01
2 3   6.0835152768348655E-01   7.5323544094345021E+00   1.9763027524697570E+00   4.8048542439552089E-01
2 4   0.0000000000000000E+00   3.3862131032504506E+00   6.3280915719769470E-01   2.3599442245170507E-01
2 5   5.6098374274635932E-01   4.5356481255168566E+00   1.2703379586824397E+00   2.7660392320482102E-01
2 6   0.0000000000000000E+00   1.8909877539194524E+00   2.9442374614353295E-01   1.3193577949552668E-01
2 7   4.8850052942579814E-01   2.6154328621607861E+00   8.3460866328429517E-01   1.4678499647825263E-01
2 8   0.0000000000000000E+00   9.3641034200657924E-01   1.0671973149043434E-01   6.3893327801854416E-02
2 9   5.0788833002978873E-01   1.8545341781448570E+00   7.1707380842237689E-01   9.2040741888319746E-02
2 10   0.0000000000000000E+00   2.9121456897811355E+00   4.5597745539017143E-01   2.1744033221219022E-01
2 11   3.5269317308496506E-01   1.0714592032613131E+00   5.3122206019877671E-01   4.3463621284415971E-02
2 12   0.0000000000000000E+00   2.5277642768509319E+00   3.0313039663975766E-01   1.9267119199486585E-01
2 13   1.5980022688828244E-01   6.6348817066386512E-01   3.6718949167399634E-01   3.0721649376139082E-02
2 14   0.0000000000000000E+00   2.3030057819082543E+00   1.6867219333559061E-01   1.6843045197949438E-01
2 15   9.5641036809350176E-03   3.9085233064570796E-01   1.5044656592061059E-01   2.7738272780445689E-02
2 16   0.0000000000000000E+00   2.0367068825282000E+00   5.0055607059846199E-02   1.2798228820615823E-01
2 17   0.0000000000000000E+00   3.4335400617385065E-01   1.5650530840436900E-02   1.9679950413746573E-02
2 18   0.0000000000000000E+00   5.6319316766205336E-02   8.4244150589712224E-04   2.9975973214936402E-03
2 19   0.0000000000000000E+00   3.0182597583971464E+00   1.9237649939116780E-01   1.8119983242841042E-01
2 20   0.0000000000000000E+00   4.9878800454061367E-01   1.1527347012337850E-02   2.8446607350521423E-02
2 21   2.6868432665048203E-03   2.6739582842775922E-01   2.9978345392564717E-02   1.5612609161820066E-02
2 22   7.9032168691475202E-05   1.4167796508898463E+00   7.1718268182926759E-02   8.3463627836110707E-02
2 23   1.5147601271556007E-02   4.0756378297923901E-01   4.7275265557383171E-02   2.3209127739851471E-02
2 24   0.0000000000000000E+00   2.3324050667069191E-01   6.6737790720667184E-03   1.2962710393033918E-02
2 25   0.0000000000000000E+00   3.5285772934088619E-02   3.6899778863927571E-04   1.8245417995245044E-03
2 26   5.7736955157389998E-03   8.2245409953473070E-01   4.8534246103555959E-02   4.7449275442830348E-02
2 27   0.0000000000000000E+00   7.8557031440100367E-01   3.4771918089540194E-02   4.5287924327110145E-02
2 28   0.0000000000000000E+00   9.8448068666706051E-02   1.0516145900497818E-03   5.1643697081325086E-03
2 29   6.0374649986214722E-03   9.9251766407842529E-02   1.5759741818664359E-02   5.0979773480979533E-03
2 30   2.4293276970679444E-03   1.5478537567691844E-01   1.1278440324377767E-02   8.0632919418006967E-03
0.000000 0.000000
